fips_id	precinct_number	precinct	population_total	population_black	population_asian	population_white	population_multiracial	population_other	population_hispanic	housing_units
51760	302	THREE HUNDRED TWO	2132	1332	13	708	69	10	25	1116
51760	303	THREE HUNDRED THREE	1514	965	11	419	91	28	57	733
51760	304	THREE HUNDRED FOUR	2556	1828	21	523	133	51	106	1243
51760	305	THREE HUNDRED FIVE	2821	1464	99	994	178	86	151	1432
51760	306	THREE HUNDRED SIX	2447	1588	39	609	149	62	137	917
51760	307	THREE HUNDRED SEVEN	2381	609	50	1567	118	37	64	1189
51760	308	THREE HUNDRED EIGHT	2278	384	41	1716	107	30	54	1310
51760	309	THREE HUNDRED NINE	1713	280	15	1319	77	22	46	1387
51760	402	FOUR HUNDRED TWO	3694	322	56	2991	260	65	166	1715
51760	404	FOUR HUNDRED FOUR	3930	1566	79	1826	300	159	260	2130
51760	410	FOUR HUNDRED TEN	3459	1395	63	1594	170	237	353	1645
51760	412	FOUR HUNDRED TWELVE	3541	1683	150	1297	248	163	290	2154
51760	413	FOUR HUNDRED THIRTEEN	2240	229	46	1837	109	19	66	1148
51760	501	FIVE HUNDRED ONE	3154	545	68	2229	232	80	181	1786
51760	503	FIVE HUNDRED THREE	3430	1501	36	1640	196	57	128	1703
51760	504	FIVE HUNDRED FOUR	5078	1195	244	3209	327	103	287	2646
51760	505	FIVE HUNDRED FIVE	3638	539	423	2272	273	131	288	1148
51760	508	FIVE HUNDRED EIGHT	1648	261	42	1221	96	28	64	924
51760	509	FIVE HUNDRED NINE	3564	2517	21	704	193	129	143	1849
51760	510	FIVE HUNDRED TEN	3488	1949	27	1127	244	141	203	1644
51760	602	SIX HUNDRED TWO	4796	4383	9	217	121	66	102	1515
51760	603	SIX HUNDRED THREE	2810	2086	19	500	144	61	70	1492
51760	604	SIX HUNDRED FOUR	2304	1730	18	385	89	82	109	1066
51760	606	SIX HUNDRED SIX	2990	2287	19	482	127	75	89	1506
51760	607	SIX HUNDRED SEVEN	4571	836	561	2686	351	137	330	3282
51760	609	SIX HUNDRED NINE	5766	2474	220	2455	481	136	366	3813
51760	610	SIX HUNDRED TEN	3694	3107	3	221	173	190	262	1497
51760	701	SEVEN HUNDRED ONE	3554	3343	2	76	111	22	81	1597
51760	702	SEVEN HUNDRED TWO	3124	2366	32	513	158	55	101	1676
51760	703	SEVEN HUNDRED THREE	2967	1999	42	705	159	62	96	1545
51760	705	SEVEN HUNDRED FIVE	2154	725	55	1135	186	53	109	1107
51760	706	SEVEN HUNDRED SIX	4781	3233	43	1068	264	173	242	2262
51760	707	SEVEN HUNDRED SEVEN	4321	948	124	2829	309	111	282	2492
51760	802	EIGHT HUNDRED TWO	2835	2221	16	306	167	125	176	1268
51760	806	EIGHT HUNDRED SIX	6415	3037	48	679	523	2128	2593	2422
51760	810	EIGHT HUNDRED TEN	3910	1924	55	515	304	1112	1362	1445
51760	811	EIGHT HUNDRED ELEVEN	4067	2931	34	585	189	328	449	1945
51760	812	EIGHT HUNDRED TWELVE	5223	2950	79	826	318	1050	1292	1943
51760	814	EIGHT HUNDRED FOURTEEN	2833	1728	5	273	161	666	795	1162
51760	902	NINE HUNDRED TWO	4594	1071	18	248	454	2803	3266	1724
51760	903	NINE HUNDRED THREE	4692	2772	31	574	253	1062	1294	1904
51760	908	NINE HUNDRED EIGHT	4313	2872	53	814	252	322	459	2318
51760	909	NINE HUNDRED NINE	3924	2493	34	763	264	370	538	1796
51760	910	NINE HUNDRED TEN	5110	2359	16	586	351	1798	2085	2084
51760	911	NINE HUNDRED ELEVEN	2967	2056	58	287	179	387	523	1170
51775	1	NORTH SALEM NO 2	3834	239	57	3328	169	41	132	1158
51775	2	CONEHURST	2001	415	24	1403	127	32	72	933
51775	3	BEVERLY HEIGHTS	1439	24	31	1288	89	7	41	602
51775	4	WEST SALEM	2097	55	54	1892	81	15	39	955
51775	5	NORTH SALEM NO 1	3449	307	53	2771	213	105	181	1507
51775	6	SOUTH SALEM NO 1	2004	217	32	1559	135	61	136	1017
51775	7	SOUTH SALEM NO 2	2469	98	54	2071	203	43	92	1140
51775	8	EAST SALEM	1546	179	11	1122	72	162	236	680
51775	9	SOUTH SIDE HILLS	3165	102	74	2788	153	48	79	1371
51775	10	HIDDEN VALLEY	3342	313	151	2701	131	46	80	1762
51790	101	WARD NO 1	6049	894	145	4365	495	150	341	3021
