SUMLEV	GEOCODE	GEOID	NAME	BASENAME	total_population_p001	white	black	american_indian	asian	pacific_islander	other	two_or_more	total_population_p002	hispanic	not_hispanic	housing_units_total	housing_units_occupied	housing_units_vacant
140	51173030702	1400000US51173030702	Census Tract 307.02	307.02	4036	3814	27	4	7	0	29	155	4036	46	3990	1996	1711	285
140	51175200100	1400000US51175200100	Census Tract 2001	2001	4162	3153	767	13	17	5	18	189	4162	71	4091	1927	1699	228
140	51175200200	1400000US51175200200	Census Tract 2002	2002	2737	1568	1022	16	5	0	21	105	2737	74	2663	1310	1126	184
140	51175200300	1400000US51175200300	Census Tract 2003	2003	1319	554	750	0	2	1	0	12	1319	28	1291	3	3	0
140	51175200401	1400000US51175200401	Census Tract 2004.01	2004.01	3599	2215	1180	10	22	0	36	136	3599	46	3553	1607	1483	124
140	51175200402	1400000US51175200402	Census Tract 2004.02	2004.02	2815	1776	893	4	18	7	19	98	2815	41	2774	1215	1110	105
140	51175200500	1400000US51175200500	Census Tract 2005	2005	3364	1814	1312	24	6	7	22	179	3364	72	3292	1662	1380	282
140	51177020104	1400000US51177020104	Census Tract 201.04	201.04	4945	3588	552	12	161	5	178	449	4945	422	4523	1626	1561	65
140	51177020105	1400000US51177020105	Census Tract 201.05	201.05	2434	2013	81	4	47	0	72	217	2434	164	2270	847	806	41
140	51177020106	1400000US51177020106	Census Tract 201.06	201.06	8064	5825	744	21	326	7	420	721	8064	892	7172	2951	2816	135
140	51177020107	1400000US51177020107	Census Tract 201.07	201.07	2340	1449	437	3	76	0	146	229	2340	239	2101	820	792	28
140	51177020108	1400000US51177020108	Census Tract 201.08	201.08	4225	2278	922	16	157	4	416	432	4225	757	3468	1575	1514	61
140	51177020109	1400000US51177020109	Census Tract 201.09	201.09	3656	2326	484	16	96	1	390	343	3656	638	3018	1409	1362	47
140	51177020110	1400000US51177020110	Census Tract 201.10	201.10	3881	2213	580	15	95	8	538	432	3881	936	2945	1371	1349	22
140	51177020111	1400000US51177020111	Census Tract 201.11	201.11	2454	1427	511	12	51	3	132	318	2454	369	2085	765	752	13
140	51177020112	1400000US51177020112	Census Tract 201.12	201.12	2749	1697	462	6	57	2	177	348	2749	367	2382	884	877	7
140	51177020113	1400000US51177020113	Census Tract 201.13	201.13	4512	3035	727	10	61	2	215	462	4512	457	4055	1529	1476	53
140	51177020114	1400000US51177020114	Census Tract 201.14	201.14	5913	3180	1333	32	268	7	384	709	5913	892	5021	1972	1940	32
140	51177020201	1400000US51177020201	Census Tract 202.01	202.01	7310	4090	1544	29	162	9	594	882	7310	1187	6123	2594	2486	108
140	51177020202	1400000US51177020202	Census Tract 202.02	202.02	5418	3136	1062	26	132	14	473	575	5418	834	4584	2023	1931	92
140	51177020203	1400000US51177020203	Census Tract 202.03	202.03	5067	2675	1315	42	197	0	304	534	5067	708	4359	1683	1647	36
140	51177020204	1400000US51177020204	Census Tract 202.04	202.04	4572	2850	751	33	173	0	289	476	4572	619	3953	1797	1735	62
140	51177020206	1400000US51177020206	Census Tract 202.06	202.06	4570	2933	856	31	134	0	145	471	4570	415	4155	1984	1773	211
140	51177020207	1400000US51177020207	Census Tract 202.07	202.07	1575	938	336	6	39	4	104	148	1575	201	1374	502	500	2
140	51177020304	1400000US51177020304	Census Tract 203.04	203.04	4351	2854	573	31	127	4	341	421	4351	599	3752	1846	1779	67
140	51177020305	1400000US51177020305	Census Tract 203.05	203.05	3858	2087	864	21	190	6	285	405	3858	533	3325	1689	1621	68
140	51177020307	1400000US51177020307	Census Tract 203.07	203.07	3791	1955	708	30	121	1	523	453	3791	822	2969	1219	1202	17
140	51177020308	1400000US51177020308	Census Tract 203.08	203.08	4032	2560	626	19	87	7	269	464	4032	559	3473	1349	1310	39
140	51177020309	1400000US51177020309	Census Tract 203.09	203.09	5749	3679	1044	24	148	4	319	531	5749	646	5103	2107	2056	51
140	51177020311	1400000US51177020311	Census Tract 203.11	203.11	5571	3968	771	41	77	14	249	451	5571	443	5128	2432	1990	442
140	51177020312	1400000US51177020312	Census Tract 203.12	203.12	6724	3312	1864	48	488	1	341	670	6724	822	5902	2335	2266	69
140	51177020313	1400000US51177020313	Census Tract 203.13	203.13	695	231	352	4	10	2	32	64	695	75	620	489	359	130
140	51177020314	1400000US51177020314	Census Tract 203.14	203.14	1850	880	545	1	106	1	116	201	1850	216	1634	626	588	38
140	51177020315	1400000US51177020315	Census Tract 203.15	203.15	593	415	66	3	7	2	45	55	593	82	511	219	201	18
140	51177020316	1400000US51177020316	Census Tract 203.16	203.16	5003	3301	877	25	105	0	159	536	5003	476	4527	1819	1697	122
140	51177020403	1400000US51177020403	Census Tract 204.03	204.03	4091	3258	301	23	65	3	97	344	4091	216	3875	1482	1373	109
140	51177020404	1400000US51177020404	Census Tract 204.04	204.04	3677	3010	278	11	24	0	67	287	3677	145	3532	1706	1374	332
140	51177020405	1400000US51177020405	Census Tract 204.05	204.05	3677	3126	283	15	23	3	34	193	3677	79	3598	1980	1446	534
140	51177020406	1400000US51177020406	Census Tract 204.06	204.06	3817	3109	248	27	33	4	95	301	3817	213	3604	1422	1323	99
140	51177020407	1400000US51177020407	Census Tract 204.07	204.07	5768	4546	542	18	95	4	122	441	5768	321	5447	2170	2061	109
140	51177020408	1400000US51177020408	Census Tract 204.08	204.08	3100	2283	294	20	40	5	123	335	3100	310	2790	1028	995	33
140	51179010103	1400000US51179010103	Census Tract 101.03	101.03	5044	2606	1221	26	182	14	354	641	5044	794	4250	1845	1755	90
140	51179010105	1400000US51179010105	Census Tract 101.05	101.05	8089	4007	2178	50	400	9	541	904	8089	1206	6883	2549	2474	75
140	51179010106	1400000US51179010106	Census Tract 101.06	101.06	3865	2586	522	24	123	3	141	466	3865	462	3403	1470	1338	132
140	51179010107	1400000US51179010107	Census Tract 101.07	101.07	3661	2426	433	45	80	10	244	423	3661	580	3081	1256	1205	51
140	51179010108	1400000US51179010108	Census Tract 101.08	101.08	6426	3138	1487	44	323	6	526	902	6426	1243	5183	2085	2025	60
140	51179010201	1400000US51179010201	Census Tract 102.01	102.01	1633	1105	125	24	74	9	128	168	1633	347	1286	43	43	0
140	51179010202	1400000US51179010202	Census Tract 102.02	102.02	6860	5135	375	60	148	17	260	865	6860	881	5979	2242	2168	74
140	51179010205	1400000US51179010205	Census Tract 102.05	102.05	6821	4017	1008	38	280	17	489	972	6821	1232	5589	2058	2018	40
140	51179010206	1400000US51179010206	Census Tract 102.06	102.06	5495	2627	1185	32	265	16	585	785	5495	1353	4142	1738	1666	72
140	51179010210	1400000US51179010210	Census Tract 102.10	102.10	11687	5104	3579	73	700	17	634	1580	11687	1823	9864	3659	3564	95
140	51179010211	1400000US51179010211	Census Tract 102.11	102.11	4242	1991	1081	23	183	2	351	611	4242	859	3383	1477	1436	41
140	51179010212	1400000US51179010212	Census Tract 102.12	102.12	4675	2298	1087	34	175	12	401	668	4675	936	3739	1521	1493	28
140	51179010213	1400000US51179010213	Census Tract 102.13	102.13	2629	1502	548	10	126	3	117	323	2629	356	2273	761	760	1
140	51179010214	1400000US51179010214	Census Tract 102.14	102.14	3873	1887	965	14	191	5	311	500	3873	740	3133	1223	1183	40
140	51179010215	1400000US51179010215	Census Tract 102.15	102.15	2114	690	752	12	141	9	155	355	2114	385	1729	706	674	32
140	51179010216	1400000US51179010216	Census Tract 102.16	102.16	7379	2345	1879	82	302	12	1418	1341	7379	2757	4622	2600	2506	94
140	51179010217	1400000US51179010217	Census Tract 102.17	102.17	5305	3680	662	23	207	6	146	581	5305	558	4747	1733	1687	46
140	51179010218	1400000US51179010218	Census Tract 102.18	102.18	4638	2426	1301	27	120	5	306	453	4638	655	3983	1121	1083	38
140	51179010219	1400000US51179010219	Census Tract 102.19	102.19	1462	768	354	29	97	1	36	177	1462	180	1282	422	415	7
140	51179010301	1400000US51179010301	Census Tract 103.01	103.01	4690	3614	396	17	102	0	127	434	4690	395	4295	1557	1498	59
140	51179010304	1400000US51179010304	Census Tract 103.04	103.04	6868	3724	1707	42	284	18	300	793	6868	845	6023	2938	2798	140
140	51179010305	1400000US51179010305	Census Tract 103.05	103.05	6752	3670	1489	54	476	20	262	781	6752	798	5954	2261	2164	97
140	51179010306	1400000US51179010306	Census Tract 103.06	103.06	2773	1104	932	24	170	18	208	317	2773	526	2247	1050	996	54
140	51179010307	1400000US51179010307	Census Tract 103.07	103.07	8635	5285	1778	37	304	10	257	964	8635	895	7740	3311	3193	118
140	51179010308	1400000US51179010308	Census Tract 103.08	103.08	2618	2045	157	12	67	4	58	275	2618	238	2380	840	799	41
140	51179010403	1400000US51179010403	Census Tract 104.03	104.03	3815	2551	456	34	107	0	175	492	3815	467	3348	1285	1249	36
