SUMLEV	GEOID	GEOCODE	NAME	BASENAME	total_population_p001	white	black	american_indian	asian	pacific_islander	other	two_or_more	total_population_p002	hispanic	not_hispanic	housing_units_total	housing_units_occupied	housing_units_vacant
050	0500000US51127	51127	New Kent County	New Kent	22945	18017	2739	247	223	8	288	1423	22945	731	22214	9059	8580	479
050	0500000US51131	51131	Northampton County	Northampton	12282	7071	3785	85	82	8	549	702	12282	1068	11214	7373	5457	1916
050	0500000US51133	51133	Northumberland County	Northumberland	11839	8366	2690	29	69	0	195	490	11839	351	11488	8947	5573	3374
050	0500000US51135	51135	Nottoway County	Nottoway	15642	8625	5813	85	64	3	343	709	15642	773	14869	6629	5645	984
050	0500000US51137	51137	Orange County	Orange	36254	27877	4364	192	324	19	849	2629	36254	2171	34083	15671	14190	1481
050	0500000US51139	51139	Page County	Page	23709	22037	439	51	120	8	160	894	23709	497	23212	11751	9866	1885
050	0500000US51141	51141	Patrick County	Patrick	17608	15719	840	36	43	3	327	640	17608	567	17041	9994	7839	2155
050	0500000US51143	51143	Pittsylvania County	Pittsylvania	60501	44672	12417	169	292	22	800	2129	60501	1712	58789	29369	25315	4054
050	0500000US51145	51145	Powhatan County	Powhatan	30333	25732	2505	64	169	24	268	1571	30333	792	29541	11591	11055	536
050	0500000US51147	51147	Prince Edward County	Prince Edward	21849	10662	9269	36	197	1	741	943	21849	1088	20761	9087	7662	1425
050	0500000US51149	51149	Prince George County	Prince George	43010	23827	12968	276	862	144	1891	3042	43010	4344	38666	13378	12579	799
050	0500000US51153	51153	Prince William County	Prince William	482204	200831	97457	3565	50314	600	66345	63092	482204	121524	360680	158525	153745	4780
050	0500000US51155	51155	Pulaski County	Pulaski	33800	29922	1658	69	184	3	336	1628	33800	704	33096	16990	14523	2467
050	0500000US51157	51157	Rappahannock County	Rappahannock	7348	6521	200	18	63	3	101	442	7348	289	7059	3826	3202	624
050	0500000US51159	51159	Richmond County	Richmond	8923	5739	2439	16	42	0	274	413	8923	597	8326	3932	3173	759
050	0500000US51161	51161	Roanoke County	Roanoke	96929	80780	5764	243	3462	24	1490	5166	96929	3507	93422	42147	39777	2370
050	0500000US51163	51163	Rockbridge County	Rockbridge	22650	20483	575	94	187	9	261	1041	22650	513	22137	11261	9602	1659
050	0500000US51165	51165	Rockingham County	Rockingham	83757	72656	1886	291	928	20	3346	4630	83757	7093	76664	35436	32013	3423
050	0500000US51167	51167	Russell County	Russell	25781	24835	229	19	42	1	68	587	25781	168	25613	12754	11063	1691
050	0500000US51169	51169	Scott County	Scott	21576	20617	134	31	28	4	63	699	21576	255	21321	11765	9254	2511
050	0500000US51171	51171	Shenandoah County	Shenandoah	44186	38166	1087	198	348	8	1715	2664	44186	3726	40460	21136	18008	3128
050	0500000US51173	51173	Smyth County	Smyth	29800	27939	430	40	104	1	239	1047	29800	558	29242	15097	12819	2278
050	0500000US51175	51175	Southampton County	Southampton	17996	11080	5924	67	70	20	116	719	17996	332	17664	7724	6801	923
